published,dataset_id,title,description,link,json
2025-07-09 16:02:00.0,ENV_WATABS_RB,"ENV_WATABS_RB - ""Dataset: updated structure""",Water abstraction by river basin district (RBD),https://ec.europa.eu/eurostat/databrowser/product/page/ENV_WATABS_RB,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ENV_WATABS_RB?geo=IT
2025-07-09 16:02:00.0,ENV_WATUSE_RB,"ENV_WATUSE_RB - ""Dataset: updated structure""",Water use by river basin district (RBD),https://ec.europa.eu/eurostat/databrowser/product/page/ENV_WATUSE_RB,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ENV_WATUSE_RB?geo=IT
2025-07-09 16:02:00.0,ENV_WATRES_RB,"ENV_WATRES_RB - ""Dataset: updated structure""",Freshwater resources by river basin district (RBD),https://ec.europa.eu/eurostat/databrowser/product/page/ENV_WATRES_RB,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ENV_WATRES_RB?geo=IT
2025-07-09 11:43:00.0,MIGR_ASYDCTZM,"MIGR_ASYDCTZM - ""Dataset: updated structure""",Decisions on asylum applications by citizenship (until December 2007) - monthly data,https://ec.europa.eu/eurostat/databrowser/product/page/MIGR_ASYDCTZM,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/MIGR_ASYDCTZM?geo=IT
2025-07-09 11:43:00.0,MIGR_ASYDCTZY,"MIGR_ASYDCTZY - ""Dataset: updated structure""",Decisions on asylum applications by citizenship (until 2007) - annual data,https://ec.europa.eu/eurostat/databrowser/product/page/MIGR_ASYDCTZY,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/MIGR_ASYDCTZY?geo=IT
2025-07-09 11:00:00.0,TESEM160,"TESEM160 - ""Dataset: updated data""",Labour productivity per person employed and hour worked (EU27_2020=100),https://ec.europa.eu/eurostat/databrowser/product/page/TESEM160,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TESEM160?geo=IT
2025-07-09 11:00:00.0,TEINA432_R2,"TEINA432_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: L - current prices,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA432_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA432_R2?geo=IT
2025-07-09 11:00:00.0,TEINA434_R2,"TEINA434_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: L - volumes,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA434_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA434_R2?geo=IT
2025-07-09 11:00:00.0,TEINA436_R2,"TEINA436_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: M_N - current prices,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA436_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA436_R2?geo=IT
2025-07-09 11:00:00.0,TEINA438_R2,"TEINA438_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: M_N - volumes,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA438_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA438_R2?geo=IT
2025-07-09 11:00:00.0,TEINA440_R2,"TEINA440_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: O-Q - current prices,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA440_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA440_R2?geo=IT
2025-07-09 11:00:00.0,TEINA442_R2,"TEINA442_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: O-Q - volumes,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA442_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA442_R2?geo=IT
2025-07-09 11:00:00.0,TEINA444_R2,"TEINA444_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: R-U - current prices,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA444_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA444_R2?geo=IT
2025-07-09 11:00:00.0,TEINA446_R2,"TEINA446_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: R-U - volumes,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA446_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA446_R2?geo=IT
2025-07-09 11:00:00.0,TESEM040,"TESEM040 - ""Dataset: updated data""",Overall employment growth,https://ec.europa.eu/eurostat/databrowser/product/page/TESEM040,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TESEM040?geo=IT
2025-07-09 11:00:00.0,TIPSFS11,"TIPSFS11 - ""Dataset: updated data""","Total financial sector liabilities, by sub-sectors, non-consolidated - % of GDP",https://ec.europa.eu/eurostat/databrowser/product/page/TIPSFS11,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSFS11?geo=IT
2025-07-09 11:00:00.0,TESEM170,"TESEM170 - ""Dataset: updated data""",Nominal unit labour cost growth,https://ec.europa.eu/eurostat/databrowser/product/page/TESEM170,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TESEM170?geo=IT
2025-07-09 11:00:00.0,TIPSFS10,"TIPSFS10 - ""Dataset: updated data""","Total financial sector liabilities, non-consolidated - annual data",https://ec.europa.eu/eurostat/databrowser/product/page/TIPSFS10,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSFS10?geo=IT
2025-07-09 11:00:00.0,TEINA428_R2,"TEINA428_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: K - current prices,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA428_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA428_R2?geo=IT
2025-07-09 11:00:00.0,TIPSFS12,"TIPSFS12 - ""Dataset: updated data""","Total financial sector liabilities, by sub-sectors, non-consolidated - million units of national currency",https://ec.europa.eu/eurostat/databrowser/product/page/TIPSFS12,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSFS12?geo=IT
2025-07-09 11:00:00.0,TIPSFS13,"TIPSFS13 - ""Dataset: updated data""","Total financial sector liabilities, by instruments, non-consolidated - % of GDP",https://ec.europa.eu/eurostat/databrowser/product/page/TIPSFS13,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSFS13?geo=IT
2025-07-09 11:00:00.0,TIPSFS14,"TIPSFS14 - ""Dataset: updated data""","Total financial sector liabilities, by instruments, non-consolidated - million units of national currency",https://ec.europa.eu/eurostat/databrowser/product/page/TIPSFS14,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSFS14?geo=IT
2025-07-09 11:00:00.0,TIPSFS20,"TIPSFS20 - ""Dataset: updated data""","Financial sector leverage, debt to equity, non-consolidated - %",https://ec.europa.eu/eurostat/databrowser/product/page/TIPSFS20,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSFS20?geo=IT
2025-07-09 11:00:00.0,TIPSFS30,"TIPSFS30 - ""Dataset: updated data""","Total financial sector liabilities, consolidated",https://ec.europa.eu/eurostat/databrowser/product/page/TIPSFS30,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSFS30?geo=IT
2025-07-09 11:00:00.0,TIPSFS31,"TIPSFS31 - ""Dataset: updated data""","Total financial sector liabilities, by sub-sectors, consolidated - % of GDP",https://ec.europa.eu/eurostat/databrowser/product/page/TIPSFS31,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSFS31?geo=IT
2025-07-09 11:00:00.0,TIPSFS32,"TIPSFS32 - ""Dataset: updated data""","Total financial sector liabilities, by sub-sectors, consolidated - million units of national currency",https://ec.europa.eu/eurostat/databrowser/product/page/TIPSFS32,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSFS32?geo=IT
2025-07-09 11:00:00.0,TEINA430_R2,"TEINA430_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: K - volumes,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA430_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA430_R2?geo=IT
2025-07-09 11:00:00.0,TEINA422_R2,"TEINA422_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: G-I - volumes,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA422_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA422_R2?geo=IT
2025-07-09 11:00:00.0,TEINA426_R2,"TEINA426_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: J - volumes,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA426_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA426_R2?geo=IT
