published,dataset_id,title,description,link,json
2025-07-04 23:00:00.0,NRG_CB_SFFM,"NRG_CB_SFFM - ""Dataset: updated structure""",Supply and transformation of solid fossil fuels - monthly data,https://ec.europa.eu/eurostat/databrowser/product/page/NRG_CB_SFFM,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/NRG_CB_SFFM?geo=IT
2025-07-04 23:00:00.0,TEINA434_R2,"TEINA434_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: L - volumes,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA434_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA434_R2?geo=IT
2025-07-04 23:00:00.0,TEINA438_R2,"TEINA438_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: M_N - volumes,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA438_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA438_R2?geo=IT
2025-07-04 23:00:00.0,TEINA440_R2,"TEINA440_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: O-Q - current prices,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA440_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA440_R2?geo=IT
2025-07-04 23:00:00.0,TEINA442_R2,"TEINA442_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: O-Q - volumes,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA442_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA442_R2?geo=IT
2025-07-04 23:00:00.0,TEINA444_R2,"TEINA444_R2 - ""Dataset: updated data""",Gross value added - NACE Rev. 2: R-U - current prices,https://ec.europa.eu/eurostat/databrowser/product/page/TEINA444_R2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEINA444_R2?geo=IT
2025-07-04 23:00:00.0,TEN00137,"TEN00137 - ""Dataset: updated data""",Domestic material consumption per capita,https://ec.europa.eu/eurostat/databrowser/product/page/TEN00137,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TEN00137?geo=IT
2025-07-04 23:00:00.0,TIPSBP10,"TIPSBP10 - ""Dataset: updated data""",Current account balance - 3 year average,https://ec.europa.eu/eurostat/databrowser/product/page/TIPSBP10,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSBP10?geo=IT
2025-07-04 23:00:00.0,TIPSBP100,"TIPSBP100 - ""Dataset: updated data""","Direct investment liabilities (stocks) - annual data, % of GDP",https://ec.europa.eu/eurostat/databrowser/product/page/TIPSBP100,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSBP100?geo=IT
2025-07-04 23:00:00.0,TIPSBP11,"TIPSBP11 - ""Dataset: updated data""","Current account, main components, net balance - annual data, % of GDP",https://ec.europa.eu/eurostat/databrowser/product/page/TIPSBP11,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSBP11?geo=IT
2025-07-04 23:00:00.0,TIPSBP12,"TIPSBP12 - ""Dataset: updated data""","Current account, main component, credit - annual data, % of GDP",https://ec.europa.eu/eurostat/databrowser/product/page/TIPSBP12,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSBP12?geo=IT
2025-07-04 23:00:00.0,TIPSBP13,"TIPSBP13 - ""Dataset: updated data""","Current account, main components, debit - annual data, % of GDP",https://ec.europa.eu/eurostat/databrowser/product/page/TIPSBP13,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSBP13?geo=IT
2025-07-04 23:00:00.0,TIPSBP17,"TIPSBP17 - ""Dataset: updated data""",Capital account - annual data,https://ec.europa.eu/eurostat/databrowser/product/page/TIPSBP17,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSBP17?geo=IT
2025-07-04 23:00:00.0,TIPSBP18,"TIPSBP18 - ""Dataset: updated data""",Financial account - annual data,https://ec.europa.eu/eurostat/databrowser/product/page/TIPSBP18,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSBP18?geo=IT
2025-07-04 23:00:00.0,TIPSBP20,"TIPSBP20 - ""Dataset: updated data""",Current account balance - annual data,https://ec.europa.eu/eurostat/databrowser/product/page/TIPSBP20,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSBP20?geo=IT
2025-07-04 23:00:00.0,TIPSBP40,"TIPSBP40 - ""Dataset: updated data""",Current account balance - quarterly data,https://ec.europa.eu/eurostat/databrowser/product/page/TIPSBP40,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSBP40?geo=IT
2025-07-04 23:00:00.0,TIPSBP41,"TIPSBP41 - ""Dataset: updated data""","Current account, main components, net balance - quarterly data, % of GDP",https://ec.europa.eu/eurostat/databrowser/product/page/TIPSBP41,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/TIPSBP41?geo=IT
