Codice,Descrizione
V,total economic activities
_T,total economic activities
VNM,non market economic activities
NMKT,non market economic activities
VA,"agriculture, forestry and fishing"
A,"agriculture, forestry and fishing"
V01_02,"crop and animal production, hunting and related service activities, forestry"
A01_02,"crop and animal production, hunting and related service activities, forestry and logging"
V01,"crop and animal production, hunting and related service activities"
A01,"crop and animal production, hunting and related service activities"
V02,forestry and logging
A02,forestry and logging
V03,fishing and aquaculture
A03,fishing and aquaculture
VB_F,"mining and quarrying, manufacturing, electricity, gas, steam and air conditioning supply, water supply, sewerage, waste management and remediation activities, construction"
BTF,"mining and quarrying, manufacturing, electricity, gas, steam and air conditioning supply, water supply, sewerage, waste management and remediation activities, construction"
VB_E,"mining and quarrying, manufacturing, electricity, gas, steam and air conditioning supply, water supply, sewerage, waste management and remediation activities"
BTE,"mining and quarrying, manufacturing, electricity, gas, steam and air conditioning supply, water supply, sewerage, waste management and remediation activities"
BTDAE36,"industry (except construction, sewerage, waste management and remediation activities)"
VBEVCDEVDEVE,"mining and quarrying, manufacture of coke and refined petroleum products, electricity, gas, steam and air conditioning supply, water supply, sewerage, waste management and remediation activities"
B_C19_D_E,"mining and quarrying, manufacture of coke and refined petroleum products, electricity, gas, steam and air conditioning supply, water supply, sewerage, waste management and remediation activities"
VB,mining and quarrying
B,mining and quarrying
VC,manufacturing
VCA_CMNOCD,products of industrial transformation
C,manufacturing
CX19,products of industrial transformation
VCA,"manufacture of food products, beverages and tobacco products"
C10T12,"manufacture of food products, beverages and tobacco products"
VCD_CF,"manufacture of coke and refined petroleum products, manufacture of chemicals and chemical products,manufacture of basic pharmaceutical products and pharmaceutical preparations"
C13T18,"manufacture of textiles, wearing apparel and leather products, manufacture of wood and paper products, and printing"
VCB_CC,"manufacture of textiles, wearing apparel and leather products, manufacture of wood and paper products, and printing"
VCB,"manufacture of textiles, wearing apparel and leather products"
C13T15,"manufacture of textiles, wearing apparel and leather products"
VCCEVCM,"manufacture of wood and paper products, and printing, manufacture of furniture, other manufacturing, repair and installation of machinery and equipment"
C16T18_C31T33,"manufacture of wood and paper products, and printing, manufacture of furniture, other manufacturing, repair and installation of machinery and equipment"
VCEEVCF,"manufacture of chemicals and chemical products, manufacture of basic pharmaceutical products and pharmaceutical preparations"
VCC,"manufacture of wood and paper products, and printing"
C16T18,"manufacture of wood and paper products, and printing"
V16,"manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials"
C16,"manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials"
V17,manufacture of paper and paper products
C17,manufacture of paper and paper products
V18,printing and reproduction of recorded media
C18,printing and reproduction of recorded media
VCD,manufacture of coke and refined petroleum products
C19T21,"manufacture of coke and refined petroleum products, manufacture of chemicals and chemical products, manufacture of basic pharmaceutical products and pharmaceutical preparations"
C19,manufacture of coke and refined petroleum products
VCE_CF,manufacture of chemicals and pharmaceutical products
C20_21,manufacture of chemicals and pharmaceutical products
VCE,manufacture of chemicals and chemical products
C20,manufacture of chemicals and chemical products
VCF,manufacture of basic pharmaceutical products and pharmaceutical preparations
C21,manufacture of basic pharmaceutical products and pharmaceutical preparations
VCG_CH,"manufacture of rubber and plastic products, other non-metallic mineral products, manufacture of basic metals and fabricated metal products, except machinery and equipment"
C22T25,"manufacture of rubber and plastic products, other non-metallic mineral products, manufacture of basic metals and fabricated metal products, except machinery and equipment"
VCG,"manufacture of rubber and plastic products, and other non-metallic mineral products"
C22_23,"manufacture of rubber and plastic products, and other non-metallic mineral products"
V22,manufacture of rubber and plastic products
C22,manufacture of rubber and plastic products
VCI_CK,"manufacture of computer, electronic and optical products, manufacture of electrical equipment, manufacture of machinery and equipment n.e.c"
