FREQ,REF_AREA,DATA_TYPE_AGGR,VALUATION,ADJUSTMENT,EDITION,TIME_PERIOD,OBS_VALUE
A,IT,B1G_B_W2_S1,V,N,2025M1,2021,1644016.4
A,IT,B1G_B_W2_S1,V,N,2025M1,2022,1792583.9
A,IT,B1G_B_W2_S1,V,N,2025M1,2023,1910056.4
A,IT,B1GQ_B_W2_S1,V,N,2025M1,2021,1842507.4
A,IT,B1GQ_B_W2_S1,V,N,2025M1,2022,1997054.9
A,IT,B1GQ_B_W2_S1,V,N,2025M1,2023,2128001.4
A,IT,D21X31_C_W2_S1,V,N,2025M1,2021,198491.0
A,IT,D21X31_C_W2_S1,V,N,2025M1,2022,204471.0
A,IT,D21X31_C_W2_S1,V,N,2025M1,2023,217945.0
A,IT108,B1G_B_W2_S1,V,N,2025M1,2021,26212.0
A,IT108,B1G_B_W2_S1,V,N,2025M1,2022,28074.0
A,IT108,B1GQ_B_W2_S1,V,N,2025M1,2021,29409.0
A,IT108,B1GQ_B_W2_S1,V,N,2025M1,2022,31306.0
A,IT108,D21X31_C_W2_S1,V,N,2025M1,2021,3198.0
A,IT108,D21X31_C_W2_S1,V,N,2025M1,2022,3232.0
A,IT109,B1G_B_W2_S1,V,N,2025M1,2021,3745.0
A,IT109,B1G_B_W2_S1,V,N,2025M1,2022,4132.0
A,IT109,B1GQ_B_W2_S1,V,N,2025M1,2021,4199.0
A,IT109,B1GQ_B_W2_S1,V,N,2025M1,2022,4610.0
A,IT109,D21X31_C_W2_S1,V,N,2025M1,2021,454.0
A,IT109,D21X31_C_W2_S1,V,N,2025M1,2022,478.0
A,IT110,B1G_B_W2_S1,V,N,2025M1,2021,5837.0
A,IT110,B1G_B_W2_S1,V,N,2025M1,2022,6218.0
A,IT110,B1GQ_B_W2_S1,V,N,2025M1,2021,6534.0
A,IT110,B1GQ_B_W2_S1,V,N,2025M1,2022,6928.0
A,IT110,D21X31_C_W2_S1,V,N,2025M1,2021,697.0
A,IT110,D21X31_C_W2_S1,V,N,2025M1,2022,709.0
A,IT111,B1G_B_W2_S1,V,N,2025M1,2021,5060.0
A,IT111,B1G_B_W2_S1,V,N,2025M1,2022,5379.0
A,IT111,B1GQ_B_W2_S1,V,N,2025M1,2021,5671.0
A,IT111,B1GQ_B_W2_S1,V,N,2025M1,2022,5994.0
A,IT111,D21X31_C_W2_S1,V,N,2025M1,2021,611.0
A,IT111,D21X31_C_W2_S1,V,N,2025M1,2022,614.0
A,ITC,B1G_B_W2_S1,V,N,2025M1,2021,549288.9
A,ITC,B1G_B_W2_S1,V,N,2025M1,2022,594771.7
A,ITC,B1G_B_W2_S1,V,N,2025M1,2023,636480.9
A,ITC,B1GQ_B_W2_S1,V,N,2025M1,2021,616004.2
A,ITC,B1GQ_B_W2_S1,V,N,2025M1,2022,662826.0
A,ITC,B1GQ_B_W2_S1,V,N,2025M1,2023,709062.5
A,ITC,D21X31_C_W2_S1,V,N,2025M1,2021,66715.3
A,ITC,D21X31_C_W2_S1,V,N,2025M1,2022,68054.3
A,ITC,D21X31_C_W2_S1,V,N,2025M1,2023,72581.6
A,ITC1,B1G_B_W2_S1,V,N,2025M1,2021,122716.0
A,ITC1,B1G_B_W2_S1,V,N,2025M1,2022,131606.4
A,ITC1,B1G_B_W2_S1,V,N,2025M1,2023,139997.5
A,ITC1,B1GQ_B_W2_S1,V,N,2025M1,2021,137596.8
A,ITC1,B1GQ_B_W2_S1,V,N,2025M1,2022,146698.1
A,ITC1,B1GQ_B_W2_S1,V,N,2025M1,2023,156061.4
A,ITC1,D21X31_C_W2_S1,V,N,2025M1,2021,14880.8
A,ITC1,D21X31_C_W2_S1,V,N,2025M1,2022,15091.7
A,ITC1,D21X31_C_W2_S1,V,N,2025M1,2023,16063.9
A,ITC11,B1G_B_W2_S1,V,N,2025M1,2021,66200.0
A,ITC11,B1G_B_W2_S1,V,N,2025M1,2022,70568.0
A,ITC11,B1GQ_B_W2_S1,V,N,2025M1,2021,74228.0
A,ITC11,B1GQ_B_W2_S1,V,N,2025M1,2022,78660.0
A,ITC11,D21X31_C_W2_S1,V,N,2025M1,2021,8028.0
A,ITC11,D21X31_C_W2_S1,V,N,2025M1,2022,8092.0
A,ITC12,B1G_B_W2_S1,V,N,2025M1,2021,4510.0
A,ITC12,B1G_B_W2_S1,V,N,2025M1,2022,4823.0
